"Id","topic"
"61084092","7"
"61084723","1"
"61087893","4"
"61088015","6"
"61088533","6"
"61089855","4"
"61090901","7"
"61091248","4"
"61092677","6"
"61093806","4"
"61094201","6"
"61094915","3"
"61096374","6"
"61096541","6"
"61096795","6"
"61100997","6"
"61105480","2"
"61101508","1"
"61101956","1"
"61103018","1"
"61104043","6"
"61113978","1"
"61106163","3"
"61109412","6"
"61110091","6"
"61111024","7"
"61114078","6"
"61115229","1"
"61120843","6"
"61117386","6"
"61118051","7"
"61124428","3"
"61119710","3"
"61126579","4"
"61120731","6"
"61121960","6"
"61122913","4"
"61125123","1"
"61129527","6"
"61130384","4"
"61131048","6"
"61131072","2"
"61132822","6"
"61133792","5"
"61139776","4"
"61136746","1"
"61138367","6"
"61138605","6"
"61140860","6"
"61144472","6"
"61142369","4"
"61143794","1"
"61143871","4"
"61143920","6"
"61149354","6"
"61145610","3"
"61146746","7"
"61150057","1"
"61146967","6"
"61149906","3"
"61150345","6"
"61150699","6"
"61153105","6"
"61150810","1"
"61151457","1"
"61152242","5"
"61152350","6"
"61155544","6"
"61156445","6"
"61156517","6"
"61157302","6"
"61157328","6"
"61160728","6"
"61157945","6"
"61160237","1"
"61162881","1"
"61161450","2"
"61161465","6"
"61162077","1"
"61162211","3"
"61163890","6"
"61167233","6"
"61165774","6"
"61165839","6"
"61167275","1"
"61169609","3"
"72166","1"
"61170580","6"
"61170837","1"
"61172370","7"
"61176316","1"
"61172402","6"
"61173095","6"
"61175444","3"
"61176463","5"
"61178924","1"
"61179819","3"
"61180878","5"
"61179987","3"
"61180374","6"
"61180924","3"
"61181229","6"
"61181650","1"
"61181844","6"
"61182225","6"
"61182363","7"
"61188088","6"
"61184056","1"
"61185661","1"
"61187185","3"
"61188862","6"
"61189778","3"
"61191268","6"
"61194054","6"
"61191696","3"
"61193291","6"
"61194028","7"
"61194639","1"
"61194917","4"
"61194923","6"
"61195064","4"
"61197705","2"
"61197713","3"
"61195522","5"
"61196132","6"
"61198304","6"
"61198519","1"
"61198666","6"
"61198792","6"
"61199044","6"
"61200154","3"
"61201053","6"
"61202524","1"
"61207024","2"
"61202944","7"
"61203143","7"
"61204746","3"
"61204791","1"
"61211578","7"
"61208153","6"
"61209351","6"
"61210890","1"
"61215372","3"
"61211756","7"
"61212937","1"
"61214227","6"
"61214973","3"
"61217213","1"
"61215821","4"
"61216943","6"
"61216957","3"
"61217024","2"
"61218708","6"
"61220346","6"
"61227932","6"
"61228499","7"
"61226300","1"
"61227025","7"
"61227392","6"
"61232348","6"
"61232471","6"
"61232576","6"
"61235099","3"
"61233320","1"
"61233326","2"
"61234913","6"
"61234975","3"
"61235160","2"
"61235948","6"
"61236662","6"
"61238270","3"
"61238756","1"
"61239644","3"
"61239669","4"
"61239933","3"
"61241186","3"
"61241594","6"
"61241871","6"
"61241931","6"
"61245555","3"
"61242118","3"
"61242760","3"
"61245347","7"
"61252210","5"
"61252437","1"
"61245799","1"
"61246585","1"
"61251788","7"
"61255211","6"
"61255915","6"
"61252805","6"
"61257681","1"
"61253227","4"
"61254670","6"
"61254855","7"
"61256412","5"
"61258305","7"
"61259436","2"
"61259677","1"
"61259811","6"
"61263402","4"
"61264149","6"
"61260999","3"
"61262375","6"
"61266186","6"
"61263128","6"
"61264795","6"
"61265239","6"
"61265856","1"
"61267380","5"
"61268741","6"
"61268867","5"
"61273496","1"
"61275602","7"
"61280196","1"
"61276168","1"
"61277942","3"
"61278543","7"
"61279808","6"
"61281446","1"
"61280561","3"
"61280675","6"
"61281430","6"
"61282019","6"
"61286756","3"
"61284357","6"
"61284970","6"
"61285406","6"
"61285766","6"
"61289529","6"
"61290621","1"
"61291296","4"
"61294586","7"
"61296710","2"
"61297486","6"
"61298156","7"
"61298437","6"
"61298672","4"
"61299678","6"
"61300071","3"
"61307961","7"
"61300260","6"
"61301122","6"
"61301323","6"
"61306554","6"
"61309591","6"
"61310424","5"
"61311755","1"
"61312134","6"
"61312169","6"
"61315137","1"
"61316741","5"
"61318944","3"
"61322060","7"
"61323669","6"
"61325434","1"
"61323968","7"
"61324236","6"
"61324904","6"
"61325317","3"
"61325610","6"
"61327789","7"
"61329127","1"
"61329327","6"
"61329586","4"
"61329922","1"
"61333662","6"
"61334020","6"
"61337417","1"
"61335097","1"
"72680","3"
"61337147","6"
"61342984","4"
"61337464","4"
"61339899","7"
"61341032","1"
"61349063","6"
"61346742","6"
"61347803","6"
"61350887","1"
"61349245","1"
"61349428","6"
"61351830","6"
"61352148","6"
"61354382","7"
"61353136","1"
"61353846","1"
"61354755","6"
"61353887","1"
"61354607","5"
"61354933","6"
"61359155","2"
"61355581","5"
"61357038","6"
"61366080","6"
"61366169","6"
"61367221","1"
"61369594","1"
"61373144","6"
"61370635","6"
"61372394","6"
"61373416","6"
"61377486","1"
"61373603","1"
"61378180","1"
"61381580","4"
"61378297","6"
"61383352","3"
"61383562","1"
"61382551","2"
"61386355","1"
"61384274","1"
"61384403","5"
"61386401","3"
"61386419","1"
"61386513","6"
"61394573","1"
"61390482","6"
"61393183","1"
"61394554","1"
"61395531","6"
"61397152","6"
"61399150","6"
"61400937","5"
"61402079","1"
"61402326","7"
"61403265","1"
"61403995","6"
"61404728","6"
"61405842","3"
"61405018","6"
"61405629","6"
"61406250","3"
"61406838","3"
"61411223","6"
"61408968","6"
"61409105","2"
"61410224","6"
"61411864","4"
"61414269","6"
"61415620","6"
"61415090","6"
"61415483","6"
"61415551","1"
"61416516","1"
"61416574","4"
"61418389","1"
"61417470","4"
"61417657","6"
"61417750","3"
"61420038","1"
"61420661","3"
"61421522","6"
"61422882","6"
"61423003","1"
"61423054","6"
"61423177","7"
"61423696","6"
"61423705","6"
"61426632","6"
"61426973","3"
"61427540","5"
"61427653","7"
"61428212","6"
"61429456","3"
"61430639","6"
"61433218","6"
"61431873","6"
"61432045","1"
"61432172","5"
"61434286","6"
"73007","1"
"61438529","6"
"61438990","1"
"61440196","1"
"61441074","4"
"61441415","3"
"61442830","1"
"61441687","7"
"61442670","1"
"61442793","4"
"61444018","6"
"61444852","6"
"61444881","6"
"61445218","1"
"61445346","6"
"61449048","6"
"61452397","6"
"61450218","1"
"61451229","4"
"61457049","7"
"61453765","7"
"61454175","2"
"61461788","6"
"61454233","1"
"61461364","7"
"61461507","6"
"61461933","6"
"61466484","1"
"61467100","4"
"61465295","6"
"61465497","6"
"61468049","6"
"61468234","4"
"61468378","7"
"61468861","4"
"61469188","3"
"61469354","1"
"61470302","6"
"61471321","3"
"61474362","6"
"61477210","3"
"61474725","2"
"61478650","1"
"61474945","7"
"61478332","1"
"61479306","7"
"61481830","4"
"61482578","6"
"61482595","5"
"61483036","4"
"61483054","6"
"61485610","3"
"61486633","6"
"61483109","6"
"61484672","3"
"61488250","6"
"61493169","1"
"61491302","1"
"61493708","1"
"61492207","6"
"61493804","6"
"61495505","3"
"61496227","2"
"61497021","6"
"61497819","6"
"61497891","1"
"61498654","6"
"61502379","6"
"61502651","2"
"61502528","2"
"61502845","6"
"73228","1"
"61504017","6"
"61504237","6"
"61504283","4"
"61506166","6"
"61506460","4"
"61508254","6"
"61507105","3"
"61510018","6"
"61511426","5"
"61508826","2"
"61509734","1"
"61512747","6"
"61513039","6"
"61513147","6"
"61535415","7"
"61535935","3"
"61535998","6"
"61537702","1"
"61541368","6"
"73347","6"
"61540583","7"
"61545243","3"
"61547383","6"
"61549004","6"
"61547930","3"
"61548994","4"
"61549150","6"
"61552878","7"
"61552888","6"
"61552369","6"
"61553229","1"
"61553380","3"
"61554700","7"
"61555581","6"
"61555925","6"
"61557076","1"
"61557243","1"
"61558485","6"
"61558693","7"
"61560554","4"
"61559025","6"
"61560012","6"
"61561269","1"
"61560648","3"
"61560784","6"
"61561348","7"
"61562230","7"
"61563168","3"
"61564105","3"
"61564786","1"
"61565339","1"
"61568681","7"
"61570413","6"
"61571614","6"
"61574213","2"
"61574003","6"
"61575049","3"
"61577921","1"
"61578031","1"
"61575443","1"
"61578585","1"
"61577238","6"
"61578516","7"
"61578723","6"
"61579646","4"
"61580746","3"
"61580002","6"
"61583856","6"
"61580247","4"
"61583079","3"
"61585457","6"
"61588984","6"
"61585462","6"
"61591731","6"
"61593369","1"
"61593730","1"
"61592981","6"
"61594875","6"
"61595674","1"
"61596756","4"
"61597165","1"
"61598024","6"
"61598369","6"
"61600563","1"
"61601167","7"
"61601661","6"
"61601871","3"
"61603552","6"
"61605170","1"
"61606348","1"
"61608071","4"
"61608313","4"
"61611054","4"
"61611482","2"
"61612973","4"
"61614868","1"
"61615986","3"
"61616524","1"
"61617026","1"
"61617514","1"
"61617952","6"
"61618784","6"
"61619542","6"
"61620822","3"
"61623368","1"
"61623635","6"
"61624271","1"
"61624663","6"
"61625344","6"
"61626229","6"
"61630163","1"
"61628199","4"
"61630290","3"
"61632247","6"
"61633719","6"
"61635073","1"
"61635203","1"
"61634265","6"
"61639841","1"
"61639953","6"
"61640195","6"
"61641069","3"
"61641238","6"
"61642142","1"
"61644376","4"
"61645401","3"
"61650005","3"
"61655078","6"
"61655254","7"
"61658653","1"
"61661970","1"
"61662827","1"
"61663173","6"
"61664359","1"
"61664773","1"
"61665589","1"
"61665880","7"
"61666646","6"
"61667390","2"
"61668019","6"
"61668266","1"
"61668712","7"
"61669998","1"
"61671313","4"
"61672202","6"
"61672502","1"
"61672897","6"
"61673618","4"
"61674430","1"
"61675585","6"
"61677106","6"
"61677285","6"
"61677498","1"
"61679653","1"
"61680818","6"
"61681274","3"
"61681420","1"
"61682730","6"
"61683888","1"
"61684062","1"
"61684072","6"
"61684516","6"
"61684872","6"
"61685263","1"
"61685568","5"
"61686817","7"
"61686963","6"
"61687447","1"
"61688229","1"
"61688655","7"
"61689210","1"
"61689774","6"
"61689897","7"
"61690199","6"
"61690360","7"
"61690576","1"
"61691382","4"
"73828","1"
"61695200","7"
"61695615","1"
"61696135","2"
"61696454","3"
"61696671","1"
"61696720","6"
"61697192","6"
"61697379","6"
"61697570","4"
"61701877","2"
"61702276","1"
"61702377","6"
"61702945","6"
"61704917","6"
"61705842","6"
"61705944","6"
"61706334","5"
"61709636","6"
"61709686","1"
"61710311","1"
"61710868","4"
"61711506","6"
"61711600","6"
"61713102","6"
